Country,Date,Sentiment Score,Positive,Negative
AU,2020-04-03,-0.0007142857999999919,2,3
US,2020-04-03,0.1422114439545454,235,51
IN,2020-04-03,0.21880766389610393,68,9
RU,2020-04-03,-0.266287879,1,1
IL,2020-04-03,-0.125,1,1
SE,2020-04-03,0.07250000000000001,3,2
NG,2020-04-03,0.08972048065517237,25,4
IT,2020-04-03,-0.2833333333333333,1,2
PL,2020-04-03,-0.375,1,1
GB,2020-04-03,0.14534881482978723,38,9
BR,2020-04-03,0.2183333334,4,1
IL,2020-04-05,-0.22083333340000003,2,3
ES,2020-04-05,-0.0625,2,2
NG,2020-04-05,0.1596681096190476,20,1
NL,2020-04-05,0.05383116881818182,8,3
PL,2020-04-05,-0.5,1,2
TR,2020-04-05,-0.12222222233333331,2,1
IN,2020-04-05,0.14963425035217381,206,24
US,2020-04-05,0.15657795865178567,190,34
IT,2020-04-05,0.016666666666666663,4,2
GB,2020-04-05,0.040209677641509435,45,8
KE,2020-04-05,0.22499999999999998,2,1
BR,2020-04-05,-0.06250000000000001,3,3
KR,2020-04-05,0.06666666674999999,2,2
DK,2020-04-05,0.05367288949999999,1,1
CH,2020-04-05,-0.04952380957142858,5,2
ZA,2020-04-05,-0.03,3,2
SE,2020-04-05,-0.03874999999999999,3,2
IE,2020-04-05,-0.105492424125,5,3
FR,2020-04-05,-0.5625,1,3
DE,2020-04-05,0.11208228894736841,14,5
TH,2020-04-05,-0.5,1,2
RU,2020-04-05,-0.1,3,2
NG,2020-04-06,0.1568697175714286,12,2
CA,2020-04-06,0.22457436199999997,15,4
IL,2020-04-06,-0.063888889,4,2
CH,2020-04-06,-0.00972222216666667,5,1
FR,2020-04-06,0.24285714285714288,6,1
IN,2020-04-06,0.09438653213953489,68,18
GB,2020-04-06,0.10078447137500002,28,12
TR,2020-04-06,0.0936363636,4,1
KR,2020-04-06,0.065401785625,6,2
AU,2020-04-06,0.047420205333333326,5,1
IT,2020-04-06,0.16111689820000002,9,1
JP,2020-04-06,-0.011428571399999999,1,4
ID,2020-04-06,-0.06759259266666666,1,2
ES,2020-04-06,-0.010416666666666666,5,1
US,2020-04-06,0.14998784228571427,173,30
ZA,2020-04-07,0.06140873014285714,11,3
IT,2020-04-07,-0.029166666666666664,5,1
JP,2020-04-07,0.10309523816666666,2,4
BE,2020-04-07,0.09259259233333333,2,1
NL,2020-04-07,0.07888020833333331,8,1
ID,2020-04-07,0.1857142856666667,8,1
US,2020-04-07,0.12789880605627696,191,40
PL,2020-04-07,-0.03125,3,1
TZ,2020-04-07,-0.0020833333333333333,2,1
IE,2020-04-07,-0.106060606,6,1
IL,2020-04-07,0.02708333328571428,6,1
NG,2020-04-07,0.17199380163636366,21,1
PK,2020-04-07,0.24491161625,2,2
IN,2020-04-07,0.15834980458108108,63,11
DE,2020-04-07,0.15343869499999999,12,1
MY,2020-04-07,0.0634848484,4,1
CN,2020-04-07,0.13749999999999998,1,1
GB,2020-04-07,0.09081061298461542,56,9
CA,2020-04-07,0.08787878800000001,6,1
SE,2020-04-07,0.0006944442499999988,3,1
AE,2020-04-07,-0.025,3,1
IN,2020-04-08,0.1203140581219512,32,9
CA,2020-04-08,0.094978355,16,5
ES,2020-04-08,-0.025,8,2
PK,2020-04-08,0.07772411625,3,1
UG,2020-04-08,0.09791666675,3,1
ID,2020-04-08,0.17170798890909092,10,1
NO,2020-04-08,0.02263468,2,1
IE,2020-04-08,-0.25,3,1
US,2020-04-08,0.1360516778033708,152,26
NG,2020-04-08,0.09506800963636364,19,3
GB,2020-04-08,0.13220102818749999,38,10
TH,2020-04-08,-0.025,4,1
BE,2020-04-08,0.05648148133333334,2,1
JP,2020-04-08,0.09846643516666666,2,4
AU,2020-04-08,0.175,3,1
CH,2020-04-08,-0.03333333325,3,1
BY,2020-04-09,0.06444444440000001,4,1
JM,2020-04-09,-0.3662109375,1,1
IE,2020-04-09,-0.16666666666666666,5,1
GB,2020-04-09,0.12646756499999998,39,9
ZA,2020-04-09,-0.006558641999999994,7,2
AE,2020-04-09,0.251483586,5,1
FR,2020-04-09,-0.0007440475714285728,6,1
ID,2020-04-09,0.12245370366666668,5,1
QA,2020-04-09,-0.25,1,1
JP,2020-04-09,0.02272727266666667,2,4
DK,2020-04-09,-0.05264550271428571,5,2
NL,2020-04-09,0.10909013599999999,13,1
PL,2020-04-09,-0.02,4,1
KE,2020-04-09,0.16666666675000003,3,1
IL,2020-04-09,-0.04,4,1
PK,2020-04-09,0.0718181818,3,2
AU,2020-04-09,0.24742542612500004,7,1
DE,2020-04-09,0.10203603499999998,6,3
IN,2020-04-09,0.18080483834693883,40,9
NG,2020-04-09,0.15544473040540538,33,4
US,2020-04-09,0.11135445920833328,140,28
CA,2020-04-09,0.082449495,8,1
GB,2020-04-10,0.10754233046511628,41,2
US,2020-04-10,0.1163659002234042,164,24
PK,2020-04-10,-0.2,1,1
ES,2020-04-10,0.03789492011111111,8,1
JP,2020-04-10,0.07305410888888889,8,1
SE,2020-04-10,0.040625,7,1
IN,2020-04-10,0.23496422111538454,45,7
AU,2020-04-10,0.24335858583333336,5,1
KE,2020-04-10,0.29391071430000004,9,1
NG,2020-04-10,0.09889657443478261,21,2
CA,2020-04-10,0.23360389614285712,6,1
NL,2020-04-10,0.11989583339999998,13,2
IE,2020-04-10,0.09166666666666667,8,1
ZA,2020-04-11,0.031039562166666663,7,5
JP,2020-04-11,0.022857142714285707,4,3
DK,2020-04-11,-0.05941558457142858,2,5
BE,2020-04-11,-0.011111111250000003,3,5
KE,2020-04-11,0.24583333328571427,6,1
RU,2020-04-11,-0.0466666668,2,3
CA,2020-04-11,0.12161796536363635,9,2
KR,2020-04-11,-0.0400000002,2,3
ES,2020-04-11,0.06860119037500001,5,3
TH,2020-04-11,-0.0400000002,2,3
SE,2020-04-11,-0.01292517014285714,4,3
CH,2020-04-11,0.1088636363,6,4
BY,2020-04-11,-0.08571428585714287,2,5
NG,2020-04-11,0.12612121208,24,1
US,2020-04-11,0.13354753494186047,145,27
IN,2020-04-11,0.16002167276923077,57,8
DE,2020-04-11,0.011032196875,12,4
PK,2020-04-11,0.04665404033333334,4,2
GH,2020-04-11,0.274621212,2,1
IR,2020-04-11,-0.06666666675,1,3
PL,2020-04-11,-0.0333333335,3,3
GB,2020-04-11,0.06791776911764705,26,8
IE,2020-04-11,-0.016666666833333333,3,3
IT,2020-04-11,0.15954861100000003,9,3
AU,2020-04-11,0.12272727266666668,1,2
BR,2020-04-11,-0.07777777783333334,2,4
NL,2020-04-11,0.08045677859999999,10,5
IL,2020-04-11,-0.0333333335,3,3
ID,2020-04-11,0.065,3,2
EG,2020-04-12,0.45,1,1
CA,2020-04-12,0.21386169384615383,10,3
IE,2020-04-12,0.14666666639999998,1,4
IT,2020-04-12,0.026666666399999994,1,4
IL,2020-04-12,0.12499999985714283,3,4
